Quandl Code, Compute z* Score, Observations Used,> 1.96,> 2.58
YAHOO/PX,2.2871571645,2520,TRUE,FALSE
YAHOO/PXD,0.4709623339,2520,FALSE,FALSE
YAHOO/QCOM,3.4896435301,2520,TRUE,TRUE
YAHOO/R,0.6310103179,2520,FALSE,FALSE
YAHOO/RAI,1.923344152,2520,FALSE,FALSE
YAHOO/RCL,0.2427708828,2520,FALSE,FALSE
YAHOO/REGN,-0.0903310979,2520,FALSE,FALSE
YAHOO/RF,1.7240319597,2520,FALSE,FALSE
YAHOO/RHI,2.8949846389,2520,TRUE,TRUE
YAHOO/RHT,1.3088363543,2520,FALSE,FALSE
YAHOO/RIG,0.0600465635,2520,FALSE,FALSE
YAHOO/RL,1.1049036872,2520,FALSE,FALSE
YAHOO/ROK,1.1736192887,2520,FALSE,FALSE
YAHOO/ROP,2.8918092612,2520,TRUE,TRUE
YAHOO/ROST,3.6575207902,2520,TRUE,TRUE
YAHOO/RRC,1.3089640701,2520,FALSE,FALSE
YAHOO/RSG,0.6930115961,2520,FALSE,FALSE
YAHOO/RTN,2.7021790076,2520,TRUE,TRUE
YAHOO/SBUX,0.8626829238,2520,FALSE,FALSE
YAHOO/SCG,2.8153758509,2520,TRUE,TRUE
YAHOO/SCHW,4.2647285459,2520,TRUE,TRUE
YAHOO/SEE,1.3466236499,2520,FALSE,FALSE
YAHOO/SHW,3.6058363471,2520,TRUE,TRUE
YAHOO/SIG,0.6842251957,2520,FALSE,FALSE
YAHOO/SJM,1.0438903973,2520,FALSE,FALSE
YAHOO/SLB,2.2605443236,2520,TRUE,FALSE
YAHOO/SLG,1.0642709802,2520,FALSE,FALSE
YAHOO/SNA,0.7153256308,2520,FALSE,FALSE
YAHOO/SNDK,-0.9187263642,2520,FALSE,FALSE
YAHOO/SO,3.4485467511,2520,TRUE,TRUE
YAHOO/SPG,5.3901412729,2520,TRUE,TRUE
YAHOO/SPLS,2.3372845168,2520,TRUE,FALSE
YAHOO/SRCL,3.4896754133,2520,TRUE,TRUE
YAHOO/SRE,2.0977555506,2520,TRUE,FALSE
YAHOO/STI,1.1568615846,2520,FALSE,FALSE
YAHOO/STJ,0.0724290715,2520,FALSE,FALSE
YAHOO/STT,3.0320452266,2520,TRUE,TRUE
YAHOO/STX,-0.8410951329,2520,FALSE,FALSE
YAHOO/STZ,0.3909957019,2520,FALSE,FALSE
YAHOO/SWK,1.5511164006,2520,FALSE,FALSE
YAHOO/SWKS,1.8626393678,2520,FALSE,FALSE
YAHOO/SWN,1.5777803854,2520,FALSE,FALSE
YAHOO/SYK,0.6974379458,2520,FALSE,FALSE
YAHOO/SYMC,3.535215372,2520,TRUE,TRUE
YAHOO/SYY,3.0153281417,2520,TRUE,TRUE
YAHOO/T,3.2225835821,2520,TRUE,TRUE
YAHOO/TAP,1.2786414958,2520,FALSE,FALSE
YAHOO/TE,1.6198533251,2520,FALSE,FALSE
YAHOO/TGT,2.9591019007,2520,TRUE,TRUE
YAHOO/THC,-0.6062423569,2520,FALSE,FALSE
YAHOO/TIF,0.74003018,2520,FALSE,FALSE
YAHOO/TJX,4.6471379238,2520,TRUE,TRUE
YAHOO/TMK,2.0695133276,2520,TRUE,FALSE
YAHOO/TMO,2.4064105683,2520,TRUE,FALSE
YAHOO/TROW,4.6480622072,2520,TRUE,TRUE
YAHOO/TRV,4.5809652751,2520,TRUE,TRUE
YAHOO/TSCO,0.6595086651,2520,FALSE,FALSE
YAHOO/TSN,-0.0227020963,2520,FALSE,FALSE
YAHOO/TSO,1.5275599079,2520,FALSE,FALSE
YAHOO/TSS,2.7957084887,2520,TRUE,TRUE
YAHOO/TWX,2.3283050211,2520,TRUE,FALSE
YAHOO/TXN,3.1460850147,2520,TRUE,TRUE
YAHOO/TXT,-0.1204444953,2520,FALSE,FALSE
YAHOO/TYC,0.6991027446,2520,FALSE,FALSE
YAHOO/UA,0.1660904359,2520,FALSE,FALSE
YAHOO/UHS,0.6578928476,2520,FALSE,FALSE
YAHOO/UNH,0.282060649,2520,FALSE,FALSE
YAHOO/UNP,1.734961675,2520,FALSE,FALSE
YAHOO/UPS,1.4679312435,2520,FALSE,FALSE
YAHOO/URBN,0.8218369308,2520,FALSE,FALSE
YAHOO/URI,-1.9127799341,2520,FALSE,FALSE
YAHOO/USB,1.5080954536,2520,FALSE,FALSE
YAHOO/UTX,2.0089498572,2520,TRUE,FALSE
YAHOO/VAR,1.1804222547,2520,FALSE,FALSE
YAHOO/VFC,1.1437817959,2520,FALSE,FALSE
YAHOO/VIAB,1.5757999596,2520,FALSE,FALSE
YAHOO/VLO,1.0467993348,2520,FALSE,FALSE
YAHOO/VMC,0.0178717944,2520,FALSE,FALSE
YAHOO/VNO,5.0907796384,2520,TRUE,TRUE
YAHOO/VRSN,4.4152626215,2520,TRUE,TRUE
YAHOO/VRTX,-0.2379443004,2520,FALSE,FALSE
YAHOO/VTR,4.523246857,2520,TRUE,TRUE
YAHOO/VZ,1.9367061942,2520,FALSE,FALSE
YAHOO/WAT,1.4403285565,2520,FALSE,FALSE
YAHOO/WDC,1.569561914,2520,FALSE,FALSE
YAHOO/WEC,3.1809379406,2520,TRUE,TRUE
YAHOO/WFC,2.6484574132,2520,TRUE,TRUE
YAHOO/WFM,0.5001070735,2520,FALSE,FALSE
YAHOO/WHR,0.5780802051,2520,FALSE,FALSE
YAHOO/WM,2.8665214688,2520,TRUE,TRUE
YAHOO/WMB,0.8793458492,2520,FALSE,FALSE
YAHOO/WMT,2.4593933427,2520,TRUE,FALSE
YAHOO/WY,0.0255062339,2520,FALSE,FALSE
YAHOO/WYNN,-0.3324841929,2520,FALSE,FALSE
YAHOO/XEC,0.7770704805,2520,FALSE,FALSE
YAHOO/XEL,5.4680124489,2520,TRUE,TRUE
YAHOO/XL,0.6822920617,2520,FALSE,FALSE
YAHOO/XLNX,2.3155006081,2520,TRUE,FALSE
YAHOO/XOM,4.0933152993,2520,TRUE,TRUE
YAHOO/XRAY,1.2393219977,2520,FALSE,FALSE
YAHOO/XRX,1.188964732,2520,FALSE,FALSE
YAHOO/YHOO,1.7203098282,2520,FALSE,FALSE
YAHOO/YUM,3.9121390845,2520,TRUE,TRUE
YAHOO/ZION,1.2106780702,2520,FALSE,FALSE
,,,,
,,,182,116
